Depth (m),AF (mT),x (emu),y (emu),z (emu)
0.9811,35,2.17E-06,-4.19E-07,5.77E-06
0.9811,40,1.68E-06,-1.93E-07,5.16E-06
0.9811,45,1.25E-06,3.23E-08,4.56E-06
0.9811,50,8.12E-07,-3.39E-07,3.95E-06
0.9811,60,3.79E-07,-7.11E-07,3.45E-06
0.9811,70,8.72E-08,-1.08E-06,2.95E-06
0.9811,80,-2.04E-07,-6.29E-07,2.45E-06
0.9811,90,-4.96E-07,-1.76E-07,1.61E-06
0.9811,100,-1.35E-07,2.77E-07,7.80E-07
1.0071,0,1.19E-05,1.59E-06,5.02E-05
1.0071,2.5,7.76E-06,-3.60E-07,4.31E-05
1.0071,5,5.61E-06,1.23E-06,3.14E-05
1.0071,7.5,4.96E-06,3.44E-07,2.48E-05
1.0071,10,3.95E-06,-3.27E-07,2.04E-05
1.0071,12.5,4.06E-06,-1.15E-07,1.84E-05
1.0071,15,3.39E-06,-4.09E-07,1.60E-05
1.0071,17.5,2.52E-06,-2.36E-07,1.43E-05
1.0071,20,3.08E-06,3.34E-07,1.20E-05
1.0071,25,2.54E-06,2.61E-07,1.00E-05
1.0071,30,1.99E-06,1.87E-07,7.98E-06
1.0071,35,1.43E-06,7.48E-07,5.95E-06
1.0071,40,8.78E-07,1.31E-06,5.20E-06
1.0071,45,5.59E-07,1.87E-06,4.46E-06
1.0071,50,2.40E-07,1.83E-06,3.71E-06
1.0071,60,-7.99E-08,1.79E-06,2.72E-06
1.0071,70,-5.76E-07,1.75E-06,1.72E-06
1.0071,80,-1.07E-06,1.38E-06,7.30E-07
1.0071,90,-1.57E-06,1.01E-06,2.09E-07
1.0071,100,2.68E-07,6.45E-07,-3.11E-07
1.0591,0,1.26E-05,2.20E-06,6.68E-05
1.0591,2.5,8.57E-06,5.31E-07,6.12E-05
1.0591,5,6.60E-06,-1.04E-06,5.12E-05
1.0591,7.5,5.48E-06,-9.80E-07,4.52E-05
1.0591,10,4.31E-06,-1.07E-06,3.98E-05
1.0591,12.5,4.06E-06,-1.55E-06,3.63E-05
1.0591,15,4.22E-06,2.85E-07,3.42E-05
1.0591,17.5,3.33E-06,-1.03E-06,3.14E-05
1.0591,20,3.70E-06,-4.79E-07,2.97E-05
1.0591,25,2.57E-06,-4.20E-07,2.64E-05
1.0591,30,1.99E-06,-3.61E-07,2.30E-05
1.0591,35,1.40E-06,1.24E-07,1.96E-05
1.0591,40,8.12E-07,6.09E-07,1.81E-05
1.0591,45,4.73E-07,1.09E-06,1.66E-05
1.0591,50,1.33E-07,9.12E-07,1.51E-05
1.0591,60,-2.06E-07,7.30E-07,1.26E-05
1.0591,70,-4.46E-07,5.48E-07,1.00E-05
1.0591,80,-6.85E-07,4.74E-07,7.44E-06
1.0591,90,-9.24E-07,4.01E-07,5.79E-06
1.0591,100,-3.14E-07,3.27E-07,4.15E-06
1.0841,0,7.99E-06,-6.23E-06,6.59E-05
1.0841,2.5,4.71E-06,-6.29E-06,6.11E-05
1.0841,5,3.40E-06,-7.01E-06,5.38E-05
1.0841,7.5,2.82E-06,-4.09E-06,4.90E-05
1.0841,10,2.41E-06,-6.01E-06,4.44E-05
1.0841,12.5,2.13E-06,-4.91E-06,4.11E-05
1.0841,15,2.20E-06,-5.19E-06,3.86E-05
1.0841,17.5,8.59E-07,-5.17E-06,3.58E-05
1.0841,20,1.94E-06,-4.30E-06,3.43E-05
1.0841,25,8.33E-07,-3.68E-06,3.09E-05
1.0841,30,8.36E-08,-3.07E-06,2.74E-05
1.0841,35,-6.66E-07,-2.94E-06,2.40E-05
1.0841,40,-1.42E-06,-2.82E-06,2.22E-05
1.0841,45,-1.71E-06,-2.69E-06,2.05E-05
1.0841,50,-2.01E-06,-2.45E-06,1.87E-05
1.0841,60,-2.31E-06,-2.21E-06,1.62E-05
1.0841,70,-2.18E-06,-1.97E-06,1.37E-05
1.0841,80,-2.05E-06,-1.62E-06,1.11E-05
1.0841,90,-1.92E-06,-1.28E-06,8.78E-06
1.0841,100,-1.25E-06,-9.43E-07,6.42E-06
1.1361,0,-3.23E-07,7.33E-07,5.75E-05
1.1361,2.5,-6.09E-07,8.03E-07,5.05E-05
1.1361,5,-3.90E-07,-7.95E-07,4.19E-05
1.1361,7.5,5.65E-08,-7.45E-07,3.54E-05
1.1361,10,1.96E-07,6.58E-07,2.96E-05
1.1361,12.5,-2.06E-07,-1.04E-06,2.58E-05
1.1361,15,-9.10E-08,-3.39E-07,2.26E-05
1.1361,17.5,-7.03E-07,5.14E-07,2.00E-05
1.1361,20,-1.11E-07,7.79E-07,1.88E-05
1.1361,25,-5.36E-07,3.82E-07,1.57E-05
1.1361,30,-5.61E-07,-1.52E-08,1.25E-05
1.1361,35,-5.85E-07,4.43E-07,9.42E-06
1.1361,40,-6.10E-07,9.02E-07,8.56E-06
1.1361,45,-1.01E-06,1.36E-06,7.70E-06
1.1361,50,-1.41E-06,1.35E-06,6.85E-06
1.1361,60,-1.82E-06,1.35E-06,5.39E-06
1.1361,70,-1.29E-06,1.34E-06,3.94E-06
1.1361,80,-7.71E-07,1.70E-06,2.49E-06
1.1361,90,-2.49E-07,2.05E-06,2.01E-06
1.1361,100,6.12E-07,2.40E-06,1.53E-06
1.1621,0,2.78E-07,-2.73E-06,4.07E-05
1.1621,2.5,-5.69E-07,-2.18E-06,3.65E-05
1.1621,5,3.49E-08,-2.70E-06,3.16E-05
1.1621,7.5,-5.77E-07,-1.55E-06,2.65E-05
1.1621,10,-1.13E-06,-2.14E-06,2.26E-05
1.1621,12.5,1.75E-07,-2.11E-06,2.13E-05
1.1621,15,8.43E-07,-1.22E-06,1.87E-05
1.1621,17.5,-9.48E-07,-2.00E-06,1.53E-05
1.1621,20,8.66E-07,-1.76E-06,1.51E-05
1.1621,25,-1.73E-07,-1.92E-06,1.29E-05
1.1621,30,1.10E-07,-2.07E-06,1.07E-05
1.1621,35,3.94E-07,-2.09E-06,8.48E-06
1.1621,40,6.78E-07,-2.10E-06,8.12E-06
1.1621,45,1.85E-07,-2.11E-06,7.75E-06
1.1621,50,-3.07E-07,-1.37E-06,7.39E-06
1.1621,60,-8.00E-07,-6.22E-07,6.28E-06
1.1621,70,-5.68E-07,1.24E-07,5.17E-06
1.1621,80,-3.35E-07,3.62E-07,4.07E-06
1.1621,90,-1.02E-07,6.00E-07,2.24E-06
1.1621,100,-2.91E-07,8.38E-07,4.07E-07
1.2121,0,-2.33E-06,-1.25E-06,2.19E-05
1.2121,2.5,-3.37E-06,-2.14E-07,2.01E-05
1.2121,5,-3.00E-06,-6.66E-07,1.76E-05
1.2121,7.5,-2.94E-06,-1.24E-06,1.56E-05
1.2121,10,-3.43E-06,-2.87E-07,1.30E-05
1.2121,12.5,-3.38E-06,-8.89E-07,1.21E-05
1.2121,15,-2.90E-06,-3.66E-07,1.14E-05
1.2121,17.5,-3.18E-06,-6.04E-07,1.04E-05
1.2121,20,-3.01E-06,-2.18E-07,9.93E-06
1.2121,25,-3.14E-06,-4.14E-07,9.01E-06
1.2121,30,-3.05E-06,-6.10E-07,8.10E-06
1.2121,35,-2.95E-06,-5.72E-07,7.18E-06
1.2121,40,-2.85E-06,-5.34E-07,6.34E-06
1.2121,45,-2.70E-06,-4.96E-07,5.50E-06
1.2121,50,-2.54E-06,-3.03E-07,4.66E-06
1.2121,60,-2.39E-06,-1.10E-07,3.99E-06
1.2121,70,-1.79E-06,8.30E-08,3.32E-06
1.2121,80,-1.19E-06,1.95E-07,2.65E-06
1.2121,90,-5.85E-07,3.07E-07,2.35E-06
1.2121,100,1.33E-07,4.19E-07,2.05E-06
1.2391,0,1.93E-06,-1.87E-06,3.07E-05
1.2391,2.5,1.84E-06,-1.85E-07,2.65E-05
1.2391,5,2.19E-06,-1.41E-06,2.26E-05
1.2391,7.5,1.75E-06,-1.39E-06,1.90E-05
1.2391,10,1.66E-06,-1.28E-06,1.62E-05
1.2391,12.5,1.83E-06,-6.68E-07,1.46E-05
1.2391,15,1.74E-06,-1.45E-06,1.33E-05
1.2391,17.5,1.39E-06,-1.32E-06,1.16E-05
1.2391,20,2.10E-06,-9.88E-07,1.06E-05
1.2391,25,1.02E-06,-1.16E-06,9.71E-06
1.2391,30,8.29E-07,-1.32E-06,8.77E-06
1.2391,35,6.37E-07,-8.52E-07,7.83E-06
1.2391,40,4.46E-07,-3.81E-07,6.69E-06
1.2391,45,2.79E-07,9.06E-08,5.55E-06
1.2391,50,1.13E-07,1.33E-07,4.41E-06
1.2391,60,-5.41E-08,1.76E-07,3.54E-06
1.2391,70,-7.65E-08,2.19E-07,2.67E-06
1.2391,80,-9.89E-08,1.55E-07,1.80E-06
1.2391,90,-1.21E-07,9.17E-08,1.36E-06
1.2391,100,1.64E-06,2.82E-08,9.09E-07
1.2881,0,-9.63E-07,-2.89E-06,3.80E-05
1.2881,2.5,-1.26E-06,-3.53E-06,3.26E-05
1.2881,5,-1.24E-06,-2.03E-06,2.76E-05
1.2881,7.5,-1.10E-06,-2.95E-06,2.29E-05
1.2881,10,-1.66E-06,-3.22E-06,1.92E-05
1.2881,12.5,-1.81E-06,-1.87E-06,1.71E-05
1.2881,15,-2.33E-06,-2.18E-06,1.52E-05
1.2881,17.5,-2.28E-06,-1.71E-06,1.40E-05
1.2881,20,-1.86E-06,-1.46E-06,1.28E-05
1.2881,25,-1.68E-06,-1.24E-06,1.11E-05
1.2881,30,-1.69E-06,-1.02E-06,9.39E-06
1.2881,35,-1.71E-06,-1.02E-06,7.69E-06
1.2881,40,-1.72E-06,-1.03E-06,6.72E-06
1.2881,45,-1.40E-06,-1.03E-06,5.75E-06
1.2881,50,-1.07E-06,-9.09E-07,4.77E-06
1.2881,60,-7.43E-07,-7.92E-07,4.18E-06
1.2881,70,-9.24E-07,-6.74E-07,3.58E-06
1.2881,80,-1.11E-06,-7.46E-09,2.98E-06
1.2881,90,-1.29E-06,6.59E-07,1.88E-06
1.2881,100,1.12E-06,1.33E-06,7.68E-07
1.3141,0,-7.48E-06,-7.28E-06,8.59E-05
1.3141,2.5,-6.07E-06,-6.47E-06,7.37E-05
1.3141,5,-4.62E-06,-4.03E-06,6.24E-05
1.3141,7.5,-4.77E-06,-3.68E-06,5.43E-05
1.3141,10,-4.57E-06,-2.94E-06,4.87E-05
1.3141,12.5,-3.53E-06,-5.42E-06,4.40E-05
1.3141,15,-3.40E-06,-5.59E-06,3.94E-05
1.3141,17.5,-4.13E-06,-2.78E-06,3.70E-05
1.3141,20,-2.58E-06,-5.89E-06,3.42E-05
1.3141,25,-2.59E-06,-4.88E-06,3.02E-05
1.3141,30,-2.59E-06,-4.60E-06,2.63E-05
1.3141,35,-2.59E-06,-4.33E-06,2.33E-05
1.3141,40,-3.03E-06,-4.06E-06,2.03E-05
1.3141,45,-3.46E-06,-3.75E-06,1.72E-05
1.3141,50,-3.89E-06,-3.45E-06,1.44E-05
1.3141,60,-3.52E-06,-3.14E-06,1.15E-05
1.3141,70,-3.14E-06,-2.91E-06,8.70E-06
1.3141,80,-2.77E-06,-2.68E-06,6.79E-06
1.3141,90,-1.65E-06,-2.45E-06,4.87E-06
1.3141,100,-5.43E-07,6.17E-06,2.96E-06
1.3661,0,3.16E-06,2.13E-06,6.45E-05
1.3661,2.5,1.91E-06,2.06E-06,5.62E-05
1.3661,5,2.09E-06,4.35E-07,4.40E-05
1.3661,7.5,1.92E-06,1.82E-06,3.66E-05
1.3661,10,1.80E-06,-2.09E-07,3.09E-05
1.3661,12.5,1.92E-06,2.81E-07,2.77E-05
1.3661,15,1.57E-06,7.56E-07,2.49E-05
1.3661,17.5,3.47E-07,2.69E-07,2.35E-05
1.3661,20,1.86E-06,5.02E-07,2.18E-05
1.3661,25,1.42E-06,1.00E-06,1.93E-05
1.3661,30,9.01E-07,1.50E-06,1.68E-05
1.3661,35,3.80E-07,1.59E-06,1.43E-05
1.3661,40,-1.41E-07,1.69E-06,1.26E-05
1.3661,45,-6.35E-07,1.78E-06,1.10E-05
1.3661,50,-1.13E-06,1.58E-06,9.38E-06
1.3661,60,-1.62E-06,1.38E-06,7.63E-06
1.3661,70,-1.42E-06,1.18E-06,5.87E-06
1.3661,80,-1.22E-06,5.12E-07,4.12E-06
1.3661,90,-1.02E-06,-1.60E-07,3.74E-06
1.3661,100,2.09E-06,-8.32E-07,3.35E-06
1.3911,0,6.73E-06,4.10E-06,6.19E-05
1.3911,2.5,6.69E-06,1.99E-06,5.31E-05
1.3911,5,6.62E-06,1.71E-06,4.37E-05
1.3911,7.5,6.41E-06,2.79E-06,3.81E-05
1.3911,10,5.54E-06,6.90E-07,3.36E-05
1.3911,12.5,5.26E-06,1.23E-06,3.11E-05
1.3911,15,5.82E-06,4.86E-07,2.90E-05
1.3911,17.5,4.49E-06,2.00E-06,2.72E-05
1.3911,20,4.39E-06,1.42E-06,2.47E-05
1.3911,25,3.35E-06,1.26E-06,2.17E-05
1.3911,30,3.18E-06,1.09E-06,1.88E-05
1.3911,35,3.00E-06,1.19E-06,1.59E-05
1.3911,40,2.83E-06,1.28E-06,1.41E-05
1.3911,45,2.06E-06,1.38E-06,1.24E-05
1.3911,50,1.28E-06,1.20E-06,1.07E-05
1.3911,60,5.10E-07,1.03E-06,9.10E-06
1.3911,70,-2.83E-07,8.52E-07,7.47E-06
1.3911,80,-1.08E-06,7.44E-07,5.84E-06
1.3911,90,-1.87E-06,6.36E-07,4.81E-06
1.3911,100,1.97E-06,5.28E-07,3.79E-06
1.4441,0,4.80E-06,-4.25E-06,7.10E-05
1.4441,2.5,4.71E-06,-4.06E-06,5.86E-05
1.4441,5,4.22E-06,-5.44E-06,4.51E-05
1.4441,7.5,4.09E-06,-5.64E-06,3.73E-05
1.4441,10,4.04E-06,-3.73E-06,3.11E-05
1.4441,12.5,4.42E-06,-4.64E-06,2.77E-05
1.4441,15,4.42E-06,-4.03E-06,2.42E-05
1.4441,17.5,3.62E-06,-2.87E-06,2.19E-05
1.4441,20,3.55E-06,-2.05E-06,2.01E-05
