Name,Field,Squid_x,Squid_y,Squid_z
17,5,-5.68E-06,-2.51E-06,-8.57E-06
17,10,-6.92E-06,-1.69E-06,-1.17E-05
17,15,-6.94E-06,-1.49E-06,-1.28E-05
17,20,-6.44E-06,-1.16E-06,-1.34E-05
17,25,-5.48E-06,-1.14E-06,-1.34E-05
17,30,-4.98E-06,-1.04E-06,-1.32E-05
17,35,-4.63E-06,-6.61E-07,-1.29E-05
17,40,-4.22E-06,-7.64E-07,-1.29E-05
17,45,-3.73E-06,-8.10E-07,-1.27E-05
17,50,-3.17E-06,-7.88E-07,-1.26E-05
17,60,-2.38E-06,-5.48E-07,-1.20E-05
17,70,-1.40E-06,-3.72E-07,-1.09E-05
17,80,-9.24E-07,-5.55E-07,-9.74E-06
17,90,-1.86E-07,-4.48E-07,-7.93E-06
17,100,-3.38E-07,-3.84E-07,-7.19E-06
18,0,3.45E-05,-1.23E-05,-6.73E-06
18,5,2.24E-05,-8.26E-06,-9.38E-06
18,10,1.25E-05,-5.01E-06,-1.22E-05
18,15,9.03E-06,-4.05E-06,-1.29E-05
18,20,7.42E-06,-3.14E-06,-1.34E-05
18,25,6.34E-06,-2.83E-06,-1.36E-05
18,30,5.75E-06,-2.45E-06,-1.33E-05
18,35,5.24E-06,-2.34E-06,-1.31E-05
18,40,4.30E-06,-2.17E-06,-1.31E-05
18,45,4.42E-06,-1.73E-06,-1.28E-05
18,50,3.87E-06,-1.72E-06,-1.26E-05
18,60,2.99E-06,-1.20E-06,-1.16E-05
18,70,2.98E-06,-1.03E-06,-1.03E-05
18,80,2.83E-06,-9.55E-07,-9.39E-06
18,90,2.67E-06,-8.22E-07,-7.96E-06
18,100,2.06E-06,-5.89E-07,-6.94E-06
19,0,1.62E-05,3.72E-06,-6.50E-06
19,5,1.03E-05,4.55E-06,-7.93E-06
19,10,6.36E-06,3.50E-06,-1.03E-05
19,15,5.20E-06,2.15E-06,-1.13E-05
19,20,4.75E-06,1.83E-06,-1.16E-05
19,25,4.64E-06,2.44E-06,-1.15E-05
19,30,3.83E-06,1.09E-06,-1.11E-05
19,35,3.69E-06,5.73E-07,-1.07E-05
19,40,3.29E-06,-1.13E-07,-9.90E-06
19,45,2.92E-06,1.33E-07,-1.01E-05
19,50,3.34E-06,1.58E-06,-1.06E-05
19,60,2.56E-06,-1.94E-07,-9.47E-06
19,70,2.28E-06,1.34E-06,-7.54E-06
19,80,1.44E-06,-8.23E-07,-6.33E-06
19,90,1.74E-06,1.40E-06,-5.38E-06
19,100,1.38E-06,-4.20E-07,-5.49E-06
20,0,-5.34E-06,3.14E-06,8.71E-07
