Name,AF (mT),x (emu),y (emu),z (emu)
674,25,2.57E-06,-4.20E-07,2.64E-05
674,30,1.99E-06,-3.61E-07,2.30E-05
674,35,1.40E-06,1.24E-07,1.96E-05
674,40,8.12E-07,6.09E-07,1.81E-05
674,45,4.73E-07,1.09E-06,1.66E-05
674,50,1.33E-07,9.12E-07,1.51E-05
674,60,-2.06E-07,7.30E-07,1.26E-05
674,70,-4.46E-07,5.48E-07,1.00E-05
674,80,-6.85E-07,4.74E-07,7.44E-06
674,90,-9.24E-07,4.01E-07,5.79E-06
674,100,-3.14E-07,3.27E-07,4.15E-06
675,0,7.99E-06,-6.23E-06,6.59E-05
675,2.5,4.71E-06,-6.29E-06,6.11E-05
675,5,3.40E-06,-7.01E-06,5.38E-05
675,7.5,2.82E-06,-4.09E-06,4.90E-05
675,10,2.41E-06,-6.01E-06,4.44E-05
675,12.5,2.13E-06,-4.91E-06,4.11E-05
675,15,2.20E-06,-5.19E-06,3.86E-05
675,17.5,8.59E-07,-5.17E-06,3.58E-05
675,20,1.94E-06,-4.30E-06,3.43E-05
675,25,8.33E-07,-3.68E-06,3.09E-05
675,30,8.36E-08,-3.07E-06,2.74E-05
675,35,-6.66E-07,-2.94E-06,2.40E-05
675,40,-1.42E-06,-2.82E-06,2.22E-05
675,45,-1.71E-06,-2.69E-06,2.05E-05
675,50,-2.01E-06,-2.45E-06,1.87E-05
675,60,-2.31E-06,-2.21E-06,1.62E-05
675,70,-2.18E-06,-1.97E-06,1.37E-05
675,80,-2.05E-06,-1.62E-06,1.11E-05
675,90,-1.92E-06,-1.28E-06,8.78E-06
675,100,-1.25E-06,-9.43E-07,6.42E-06
677,0,-3.23E-07,7.33E-07,5.75E-05
677,2.5,-6.09E-07,8.03E-07,5.05E-05
677,5,-3.90E-07,-7.95E-07,4.19E-05
677,7.5,5.65E-08,-7.45E-07,3.54E-05
677,10,1.96E-07,6.58E-07,2.96E-05
677,12.5,-2.06E-07,-1.04E-06,2.58E-05
677,15,-9.10E-08,-3.39E-07,2.26E-05
677,17.5,-7.03E-07,5.14E-07,2.00E-05
677,20,-1.11E-07,7.79E-07,1.88E-05
677,25,-5.36E-07,3.82E-07,1.57E-05
677,30,-5.61E-07,-1.52E-08,1.25E-05
677,35,-5.85E-07,4.43E-07,9.42E-06
677,40,-6.10E-07,9.02E-07,8.56E-06
677,45,-1.01E-06,1.36E-06,7.70E-06
677,50,-1.41E-06,1.35E-06,6.85E-06
677,60,-1.82E-06,1.35E-06,5.39E-06
677,70,-1.29E-06,1.34E-06,3.94E-06
677,80,-7.71E-07,1.70E-06,2.49E-06
677,90,-2.49E-07,2.05E-06,2.01E-06
677,100,6.12E-07,2.40E-06,1.53E-06
678,0,2.78E-07,-2.73E-06,4.07E-05
678,2.5,-5.69E-07,-2.18E-06,3.65E-05
678,5,3.49E-08,-2.70E-06,3.16E-05
678,7.5,-5.77E-07,-1.55E-06,2.65E-05
678,10,-1.13E-06,-2.14E-06,2.26E-05
